"用例编号","模块","测试对象","测试类型","前置条件","操作步骤","预期结果","关联错误码","优先级"
"AUTH-001","账号与认证","用户账号状态","正常流转","新注册用户不存在","调用注册接口完成注册","sys_user.status=enabled，且可正常登录","","P1"
"AUTH-002","账号与认证","用户账号状态","正常流转","账号为 enabled","管理员调用禁用接口","状态变为 disabled，后续登录被拦截","11009","P1"
"AUTH-005","账号与认证","验证码状态","正常流转","目标账号存在","发送验证码后校验正确验证码","状态 sent -> verified，返回 verifyToken","","P1"
"AUTH-006","账号与认证","验证码状态","异常场景","验证码已超时","使用过期验证码校验","状态为 expired，并返回过期提示","11005","P1"
"COURSE-001","课程与章节","课程状态","正常流转","新建课程","保存课程草稿后提交审核","状态 draft -> pending","","P1"
"COURSE-002","课程与章节","课程状态","正常流转","课程为 pending","审核通过","状态 pending -> published，前台可见","","P1"
"COURSE-004","课程与章节","课程状态","正常流转","课程为 published","调用下架接口","状态 published -> offline，前台不可见","","P1"
"COURSE-005","课程与章节","课程状态","非法流转","课程为 draft","前台访问课程详情","返回课程不可访问","13002","P1"
"COURSE-009","课程与章节","课程评价状态","正常流转","课程为 published 且用户未评价","提交课程评价","创建评价，状态为 visible","","P1"
"COURSE-010","课程与章节","课程评价状态","重复操作","同用户已存在有效评价","再次提交评价","拒绝重复评价","13005","P1"
"CONTENT-002","园地与审核","内容审核状态","正常流转","内容为 pending","审核通过","状态 pending -> approved，可进入展示流程","","P1"
"CONTENT-004","园地与审核","内容审核状态","非法流转","内容已为 approved","再次调用审核接口","拒绝重复审核","19001","P1"
"CONTENT-008","园地与审核","内容展示状态","非法流转","内容为 hidden 或 offline","前台访问内容详情","返回不可访问或不可见","15002","P1"
"MEMBER-001","会员与支付","会员支付状态","正常流转","创建续费记录","支付成功回调","状态 pending -> paid","","P1"
"MEMBER-003","会员与支付","会员状态","正常流转","无会员或 expired","开通会员","状态变为 active","","P1"
"MEMBER-005","会员与支付","会员状态","正常流转","会员为 expiring","时间推进到到期后","状态 expiring -> expired","","P1"
"MEMBER-007","会员与支付","会员权限","非法流转","用户会员为 expired","访问会员专享试卷","拒绝访问","14003 或 16002","P1"
"PRACTICE-001","学习与练习","练习记录状态","正常流转","打开试卷","初始化练习并开始作答","状态 not_started -> in_progress","","P1"
"PRACTICE-002","学习与练习","练习记录状态","正常流转","作答中","提交试卷并完成判分","状态 in_progress -> submitted -> reviewed","","P1"
"PRACTICE-003","学习与练习","练习记录状态","非法流转","练习记录为 reviewed","再次提交答卷","拒绝重复提交","14004 或 14005","P1"
"PRACTICE-004","学习与练习","试卷状态","非法流转","试卷为 draft 或 disabled","前台打开试卷详情","拒绝访问","14002","P1"
"MESSAGE-001","消息与客服","消息发送状态","正常流转","新建消息","立即发送成功","状态 draft -> sent","","P1"
"MESSAGE-004","消息与客服","消息已读状态","正常流转","消息为 unread","用户打开消息","状态 unread -> read","","P1"
"MESSAGE-006","消息与客服","工单状态","正常流转","用户新发起咨询","客服首次回复","状态 waiting -> processing","","P1"
"MESSAGE-009","消息与客服","工单状态","正常流转","工单为 resolved","用户确认关闭","状态 resolved -> closed","","P1"
"MESSAGE-010","消息与客服","工单状态","非法流转","工单为 closed","客服再次回复","拒绝回复","17006 或 17007","P1"
"RISK-001","举报与风控","举报状态","正常流转","用户提交举报","管理员开始处理","状态 pending -> processing","","P1"
"RISK-002","举报与风控","举报状态","正常流转","举报处理中","管理员处理完成","状态 processing -> resolved","","P1"
"RISK-005","举报与风控","举报状态","非法流转","举报已 resolved 且无复审权限","再次处理","拒绝重复处理","19003","P1"
