"用例编号","模块","测试对象","测试类型","前置条件","操作步骤","预期结果","关联错误码","优先级"
"AUTH-001","账号与认证","用户账号状态","正常流转","新注册用户不存在","调用注册接口完成注册","sys_user.status=enabled，且可正常登录","","P1"
"AUTH-002","账号与认证","用户账号状态","正常流转","账号为 enabled","管理员调用禁用接口","状态变为 disabled，后续登录被拦截","11009","P1"
"AUTH-003","账号与认证","用户账号状态","正常流转","账号为 disabled","管理员调用启用接口","状态恢复 enabled，且可再次登录","","P1"
"AUTH-004","账号与认证","登录会话","非法流转","账号为 disabled","调用登录接口","登录失败并返回账号禁用提示","11009","P1"
"AUTH-005","账号与认证","验证码状态","正常流转","目标账号存在","发送验证码后校验正确验证码","状态 sent -> verified，返回 verifyToken","","P1"
"AUTH-006","账号与认证","验证码状态","异常场景","验证码已超时","使用过期验证码校验","状态为 expired，并返回过期提示","11005","P1"
"AUTH-007","账号与认证","验证码状态","重复操作","已完成一次验证码发送","60 秒内连续发送验证码","拦截频繁发送","11006","P1"
"AUTH-008","账号与认证","登录会话","正常流转","用户已登录","调用退出登录接口","auth_session.status=logout，Token 失效","","P1"
"COURSE-001","课程与章节","课程状态","正常流转","新建课程","保存课程草稿后提交审核","状态 draft -> pending","","P1"
"COURSE-002","课程与章节","课程状态","正常流转","课程为 pending","审核通过","状态 pending -> published，前台可见","","P1"
"COURSE-003","课程与章节","课程状态","正常流转","课程为 pending","审核拒绝","状态 pending -> draft，退回编辑","","P1"
"COURSE-004","课程与章节","课程状态","正常流转","课程为 published","调用下架接口","状态 published -> offline，前台不可见","","P1"
"COURSE-005","课程与章节","课程状态","非法流转","课程为 draft","前台访问课程详情","返回课程不可访问","13002","P1"
"COURSE-006","课程与章节","章节状态","正常流转","章节为 draft","发布章节","状态 draft -> published，前台章节可见","","P1"
"COURSE-007","课程与章节","章节状态","正常流转","章节为 published","下线章节","状态 published -> offline，前台不展示","","P1"
"COURSE-008","课程与章节","章节状态","非法流转","章节为 offline","前台获取章节列表","返回结果中不应包含该章节","13004","P1"
"COURSE-009","课程与章节","课程评价状态","正常流转","课程为 published 且用户未评价","提交课程评价","创建评价，状态为 visible","","P1"
"COURSE-010","课程与章节","课程评价状态","重复操作","同用户已存在有效评价","再次提交评价","拒绝重复评价","13005","P1"
"COURSE-011","课程与章节","课程评价状态","正常流转","评价为 visible","后台隐藏评价","状态 visible -> hidden，前台不展示","","P1"
"CONTENT-001","园地与审核","内容审核状态","正常流转","新建内容","提交审核","状态为 pending","","P1"
"CONTENT-002","园地与审核","内容审核状态","正常流转","内容为 pending","审核通过","状态 pending -> approved，可进入展示流程","","P1"
"CONTENT-003","园地与审核","内容审核状态","正常流转","内容为 pending","审核拒绝","状态 pending -> rejected","","P1"
"CONTENT-004","园地与审核","内容审核状态","非法流转","内容已为 approved","再次调用审核接口","拒绝重复审核","19001","P1"
"CONTENT-005","园地与审核","内容展示状态","正常流转","内容为 approved 且可见","后台隐藏内容","状态 visible -> hidden","","P1"
"CONTENT-006","园地与审核","内容展示状态","正常流转","内容为 hidden","后台恢复展示","状态 hidden -> visible","","P1"
"CONTENT-007","园地与审核","内容展示状态","正常流转","内容为 visible","后台下线内容","状态 visible -> offline","","P1"
"CONTENT-008","园地与审核","内容展示状态","非法流转","内容为 hidden 或 offline","前台访问内容详情","返回不可访问或不可见","15002","P1"
"CONTENT-009","园地与审核","评论提交","非法流转","内容为 pending 或 rejected","前台提交评论","评论失败，状态不允许","15003","P1"
"CONTENT-010","园地与审核","举报提交","重复操作","用户已短时间内举报同内容","再次举报","拒绝重复举报","15008","P1"
"MEMBER-001","会员与支付","会员支付状态","正常流转","创建续费记录","支付成功回调","状态 pending -> paid","","P1"
"MEMBER-002","会员与支付","会员支付状态","异常场景","创建续费记录","支付失败或超时","状态 pending -> failed","","P1"
"MEMBER-003","会员与支付","会员状态","正常流转","无会员或 expired","开通会员","状态变为 active","","P1"
"MEMBER-004","会员与支付","会员状态","正常流转","会员为 active","到期前触发预警任务","状态 active -> expiring","","P1"
"MEMBER-005","会员与支付","会员状态","正常流转","会员为 expiring","时间推进到到期后","状态 expiring -> expired","","P1"
"MEMBER-006","会员与支付","会员状态","正常流转","会员为 active","后台取消会员","状态 active -> cancelled","","P1"
"MEMBER-007","会员与支付","会员权限","非法流转","用户会员为 expired","访问会员专享试卷","拒绝访问","14003 或 16002","P1"
"MEMBER-008","会员与支付","签到状态","重复操作","当日已签到","再次签到","拒绝重复签到","14007","P2"
"MEMBER-009","会员与支付","任务状态","非法流转","任务已 rewarded","再次领奖","拒绝重复领奖","14008","P2"
"PRACTICE-001","学习与练习","练习记录状态","正常流转","打开试卷","初始化练习并开始作答","状态 not_started -> in_progress","","P1"
"PRACTICE-002","学习与练习","练习记录状态","正常流转","作答中","提交试卷并完成判分","状态 in_progress -> submitted -> reviewed","","P1"
"PRACTICE-003","学习与练习","练习记录状态","非法流转","练习记录为 reviewed","再次提交答卷","拒绝重复提交","14004 或 14005","P1"
"PRACTICE-004","学习与练习","试卷状态","非法流转","试卷为 draft 或 disabled","前台打开试卷详情","拒绝访问","14002","P1"
"PRACTICE-005","学习与练习","错题状态","正常流转","用户首次答错题目","提交答卷","生成错题，状态 active","","P1"
"PRACTICE-006","学习与练习","错题状态","正常流转","错题状态为 active","再次练习并答对","状态 active -> resolved","","P1"
"PRACTICE-007","学习与练习","错题状态","正常流转","错题状态为 resolved","后续再次答错","状态 resolved -> active","","P1"
"PRACTICE-008","学习与练习","学习记录状态","正常流转","用户开始学习课程","提交学习进度达到 100%","状态 learning -> completed","","P1"
"PRACTICE-009","学习与练习","学习记录状态","正常流转","课程已完成","课程新增章节后继续学习","状态 completed -> learning","","P2"
"PRACTICE-010","学习与练习","下载状态","异常场景","下载中任务","模拟网络异常","状态 downloading -> failed","","P2"
